title,link,summary,description,date-added,fellows,fellow-bios,stories,story-links,developers,developer-links,image-link,github,cost
#GreenAlert,https://greenalert.oxpeckers.org/,Sends personalized alerts to users about environmental assessments happening for new projects in their area.,"<p>South African law says planned development projects, including mines, dams, power stations, roads and landfill sites, need to have their environmental impacts assessed before they can go ahead. #GreenAlert helps you to find out what Environmental Impact Assessments (EIAs) are happening in your area.
</p><p>Find your location to see the details of an EIA: its official ID, the project description, status of the development, and the government body responsible for authorizing and monitoring the development.</p>For more: http://bit.ly/1W5Y5FA",3/19/2016,Justin Arenstein,http://www.icfj.org/about/profiles/justin-arenstein,New tool for transparency in SA’s extractive sector - See more at: http://animus-csr.com/Fiona-Macleod-New-tool-for-transparency-in-SA%E2%80%99s-extractive-sector.html#sthash.VNa3aQAe.dpuf,http://animus-csr.com/Fiona-Macleod-New-tool-for-transparency-in-SA%E2%80%99s-extractive-sector.html,"Code for Africa,Oxpeckers","https://codeforafrica.org/, http://oxpeckers.org/",https://d3atbsy0flqavg.cloudfront.net/v1.21.0/site/uri/icfjknight-toolkit.silk.co/file/id/bb5a987d-57ed-4877-9ab1-357b90293af7/,https://github.com/codeforafrica/greenalert,Free
African Network of Centers for Investigative Reporting (ANCIR),https://investigativecenters.org/,Network of African newsrooms that collaborates on cross-border investigative reporting projects,"The African Network of Centers for Investigative Reporting (ANCIR) is an association of African investigative newsrooms, ranging from large traditional media to small specialist units.\n\nANCIR works to strengthen African investigative journalism by improving the techniques, expertise, the tools used by its newsroom partners. This includes providing member newsrooms with encryption and semantic analysis technologies, forensic research support (through the Investigative Dashboard), legal services, and seed grants for cross-border collaboration.\n\nANCIR was part of the global consortium of media partners, led by the International Consortium of Investigative Journalists, that carried out the groundbreaking Panama Papers investigation. ANCIR led the coordination of newsrooms in Africa to produce a series of more than 25 articles about the African people and companies named in the leaked materials.\n\nANCIR receives technical support from Code for Africa.\n\nFor more: http://bit.ly/28oexss",8/17/2016,"Justin Arenstein,Chris Roper","http://www.icfj.org/about/profiles/justin-arenstein, http://www.icfj.org/about/profiles/chris-roper",How African Journalists Helped Crack the Panama Papers,https://medium.com/code-for-africa/how-african-journalists-helped-crack-the-panama-papers-894ad7843fbf#.votpa2tup,,,https://d3atbsy0flqavg.cloudfront.net/v1.23.0/site/uri/icfjknight-ire2016.silk.co/file/id/f5c0770e-c097-4b71-b849-63bf0bacb6c4/,,Free
afriLEAKS,https://afrileaks.org/,Tool that connects whistleblowers with investigative journalists across Africa.,"afriLEAKS allows whistleblowers to leak confidential documents of public interest. The system helps them leak these these materials while protecting their own identities, making it difficult to identify the sources of leaked information. This site also allows whistleblowers to stay in touch with reporters and answer further questions without revealing your name or contact information.\n\nafriLEAKS is built on security software created by the Hermes Center for Transparency and Digital Human Rights and the open source GlobaLeaks toolkit, using methodologies first pioneered by Publeaks in the Netherlands. afriLEAKS has customized both the technology and deployment models to better suit resource-challenged newsrooms.\n\nIt is run by an alliance of African news organizations, including the Mail & Guardian, the Premium Times, the Daily Monitor and the Botswana Guardian.\n\nFor more: http://bit.ly/1tkXkAg",8/17/2016,"Justin Arenstein,Catherine Gicheru,Friedrich Lindenberg","http://www.icfj.org/about/profiles/justin-arenstein, http://www.icfj.org/about/profiles/catherine-gicheru, http://www.icfj.org/about/profiles/friedrich-lindenberg",Wikileaks for Africa,https://www.theguardian.com/world/2015/jan/13/wikileaks-for-africa-introducing-afrileaks,"ANCIR,Code for Africa","http://icfjknight-ire2016.silk.co/page/ANCIR, https://codeforafrica.org/",https://d3atbsy0flqavg.cloudfront.net/v1.23.0/site/uri/icfjknight-ire2016.silk.co/file/id/083de705-d535-4964-9628-1f57c7fcbac0/,,Free
Aleph,https://github.com/pudo/aleph,Search large datasets for names of people and companies.,"Aleph is a tool, built by Friedrich Lindenberg during his ICFJ Knight Fellowship, for indexing large amounts of both text (PDF, Word, HTML) and tabular (CSV, XLS, SQL) data for easy browsing and search. It is built with investigative reporting as a primary use case, and it allows cross-referencing mentions of well-known people and companies against watch lists, which are built from prior research or public data sets. The tool was first developed for ANCIR, as part of Grano, a reporting tool for investigating the connections between public and private officials.

Following his ICFJ Knight Fellowship, Lindenberg used Aleph to power a data search feature for OCCRP's 
Investigative Dashboard. This investigative tool lets reporters search more than 2.4 million documents and datasets from previous OCCRP investigations as well as official sources and other scraped data. The information is cross-referenced with watchlists based on OCCRP research and international sanctions lists.

The OpenOil platform also leverages Aleph to search through more than 1 million corporate filings related to the oil, gas and mining industries. The site also indexes and makes searchable the full text of contracts, company disclosures, news articles and government reports, enabling reporters to simultaneously check documents from a variety of sources.

For more: http://bit.ly/1XIKJDJ",8/17/2016,Friedrich Lindenberg,http://www.icfj.org/about/profiles/friedrich-lindenberg,OCCRP Launches New Search Engine for Investigative Journalists,https://www.occrp.org/en/40-press-releases/presss-releases/5287-occrp-launches-new-search-engine-for-investigative-journalists,ANCIR,http://icfjknight-ire2016.silk.co/page/ANCIR,https://d3atbsy0flqavg.cloudfront.net/v1.23.0/site/uri/icfjknight-ire2016.silk.co/file/id/580403e2-6e56-48cf-a613-ce9e8d4cc50e/,,Free
Cargografías,http://www.cargografias.org/,Create visualizations comparing candidates' job experience for elected and non-elected positions.,"<p>Data visualization platform Cargografías allows voters to trace the path of candidates running for public office – from their first political move to their most recent. Cargografías structures this information on a timeline that lets users see, at a glance, the elected and non-elected positions held by various political leaders, divided by executive or legislative functions. The platform features different filters, letting you view information by the public officer's region of influence, the positions held or length of term.
</p><p>The database powering the system includes more than 2,400 Argentine politicians and 4,500 public positions held.</p>For more: http://bit.ly/1USvrt0",6/19/2016,Mariano Blejman,http://www.icfj.org/about/profiles/mariano-blejman,"""Cargografías informs voters, journalists with data visualization of politicians' careers""",https://ijnet.org/en/blog/cargograf%C3%ADas-informs-voters-journalists-data-visualization-politicians-careers,Andres Snitcofsky,https://twitter.com/rusosnith,https://d3atbsy0flqavg.cloudfront.net/v1.21.0/site/uri/icfjknight-toolkit.silk.co/file/id/a7830024-ef96-45bb-833c-616a396e23e1/,https://github.com/cargografias,Free
connectedAFRICA,http://sa.connectedafrica.org/,Database and web tool for investigating the connections that exist between the private and public officials in South Africa.,"<p>connectedAFRICA is a tool used to investigate the connections that exist between the private and public spheres in South Africa. Specifically, it offers insight into the financial connections that can affect how, when, and why money is expended by government.
</p><p>Often, these connections are hidden from public scrutiny. Personal and professional relationships tend to have a significant impact on the decision-making process, and in exposing these to public scrutiny, Code for Africa hopes that the people will become more aware and interested in the issues that have a direct bearing on their daily lives.
/<p>
For more: http://bit.ly/1R3npHS",4/19/2016,"Friedrich Lindenberg,Justin Arenstein","http://www.icfj.org/about/profiles/friedrich-lindenberg, http://www.icfj.org/about/profiles/justin-arenstein",A Tale of Two Networks,http://pudo.org/blog/2015/05/19/tale-of-two-networks.html,Code for Africa,https://codeforafrica.org/,https://d3atbsy0flqavg.cloudfront.net/v1.21.0/site/uri/icfjknight-toolkit.silk.co/file/id/4f6c815c-63eb-4500-a610-65b3b18a3663/,https://github.com/ANCIR/siyazana.co.za,Free
Digital Security Toolkit for Journalists and Bloggers,http://bit.ly/1XF6nsB,Tools to protect journalists from online attacks and to help keep their information secure.,"From computer protection to internal and external communications, the ""Digital Security Toolkit for Journalists and Bloggers"" can be used as a resource for reporters and editors looking to protect themselves from security threats. The guide includes information on storing sensitive materials, antivirus software, anonymous internet browsing as well as encrypted mobile and video communications.",8/17/2016,Jorge Luis Sierra,http://www.icfj.org/about/profiles/jorge-luis-sierra,"How journalists can keep their mobile phones secure,Journalists: protect your computer today in case it's stolen tomorrow,""Making a case for encryption, from guacamole recipes to top-secret documents""","https://ijnet.org/en/blog/how-journalists-can-keep-their-mobile-phones-secure, https://ijnet.org/en/blog/journalists-protect-your-computer-today-case-its-stolen-tomorrow, https://ijnet.org/en/blog/making-case-encryption-guacamole-recipes-top-secret-documents",,,https://d3atbsy0flqavg.cloudfront.net/v1.23.0/site/uri/icfjknight-ire2016.silk.co/file/id/9c7338cf-dbac-4adc-9f42-bfdc5853a3bf/,,Free
Grano,http://granoproject.org/,	 Tool for mapping networks of political and economic influence.,"<p>Grano is an open source toolkit consisting of a series of tools to help extract and analyze data to help journalists and researchers who want to investigate the connections that exist between public and private officials. It helps understand the most relevant relationships in these networks and to merge data from different sources.
</p><p>
Grano has been used to power a variety of other tools, including:
<ul><li>
Siyazana: a database linking political and economic influencers in South Africa.</li><li>
OpenInterests.eu, a catalog of political and business influencers related to the European Union.</li></ul></p>
<p>For more: http://bit.ly/1TZNyJX</p>",8/17/2016,Friedrich Lindenberg,http://www.icfj.org/about/profiles/friedrich-lindenberg,"""Grano advanced queries, and Linked Data""",http://pudo.org/blog/2014/09/01/grano-linked-data.html,Code for Africa,https://codeforafrica.org/,https://d3atbsy0flqavg.cloudfront.net/v1.23.0/site/uri/icfjknight-ire2016.silk.co/file/id/a7a8ac8e-8c5f-4624-ace5-ed8a29d88009/,https://github.com/CodeForAfrica/grano,Free
Investigative Dashboard,https://investigativedashboard.org/,"Investigative journalism platform that brings together data search, visualizations and researcher expertise.","<p>The <a href='https://www.occrp.org/en'>Organized Crime and Corruption Reporting Project (OCCRP)</a> designed Investigative Dashboard as a transnational collaborative effort to help journalists and civil society researchers expose organized crime and corruption around the world. It hosts a variety of tools, including a crowd-sourced database of information and documents on persons of interest and their business connections, a worldwide list of online databases and business registries, and a research desk where journalists can go for help in sourcing hard to find information.</p><p>Former ICFJ Knight Fellow Paul Radu, now the OCCRP executive director, conceived this project with ICFJ Knight Fellow Justin Arenstein while they were <a href='http://jsk.stanford.edu/'>John S. Knight Journalism Fellows</a> at Stanford University in <a href='http://jsk.stanford.edu/fellows/class-of-2010/'>2010</a>. The <a href='http://icfjknight-ire2016.silk.co/page/ANCIR'>African Network of Centers for Investigative Reporting (ANCIR)</a>, founded by Arenstein, continues to use and support the Investigative Dashboard.</p><p>For more: <a href='http://bit.ly/1tfr95d'>http://bit.ly/1tfr95d</a></p>",8/17/2016,"Paul Radu,Justin Arenstein","https://www.occrp.org/en/about-us/50-other/biographies/1710-paul-radu, http://www.icfj.org/about/profiles/justin-arenstein","OCCRP Launches New Search Engine for Investigative Journalists,Deploying data mining in cross-border investigative journalism,The Investigative Dashboard: Hacking Crime and Corruption","https://www.occrp.org/en/40-press-releases/presss-releases/5287-occrp-launches-new-search-engine-for-investigative-journalists, https://www.occrp.org/en/announcements/3959-deploying-data-mining-in-cross-border-investigative-journalism, http://boingboing.net/2012/04/26/the-investigative-dashboard-h.html",OCCRP,https://www.occrp.org/en,https://d3atbsy0flqavg.cloudfront.net/v1.23.0/site/uri/icfjknight-ire2016.silk.co/file/id/ebef8b37-412d-4303-8627-58a74f93215b/,,Free
NarcoData,http://narcodata.animalpolitico.com/,Data and visualizations showing the evolution of drug cartels in Mexico.,"<p>Nine active cartels. A country threatened by violence. Drug kingpins that become legend. Mexico's organized crime network can be difficult to understand.</p><p>NarcoData presents a snapshot of the last four decades of organized crime in Mexico, explaining how the cartels have evolved. The project shows the emergence of the criminal networks, conflicts between the groups, their geographic expansion and their role in various criminal activities.</p>
For more: http://bit.ly/1MpvVEV (Spanish)",8/17/2016,"Mariano Blejman,Miguel Paz","http://www.icfj.org/about/profiles/mariano-blejman, http://www.icfj.org/about/profiles/miguel-paz",A Mexican startup has pieced together the elusive data behind the country's secretive drug war,http://qz.com/535076/a-mexican-startup-has-pieced-together-the-elusive-data-behind-the-countrys-secretive-drug-war/,"Animal Politico,Poderopedia","http://www.animalpolitico.com/, http://www.poderopedia.org/",https://d3atbsy0flqavg.cloudfront.net/v1.23.0/site/uri/icfjknight-ire2016.silk.co/file/id/e858f318-4384-4914-9557-0739ccea4b17/,,Free
